epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2330.06,1.75167,2.65767,1.76784,0.3191,0.36831,0.27672,0.09976,2.25342,2.91928,2.18632,0.000664444,0.000664444,0.000664444
2,4676.08,1.92935,2.42831,1.96101,0.13473,0.27144,0.11039,0.03942,2.19243,2.95307,2.26429,0.00130476,0.00130476,0.00130476
3,7308.6,1.92097,2.35015,1.96693,0.22373,0.31786,0.17867,0.06189,2.25148,3.2459,2.30053,0.00191867,0.00191867,0.00191867
4,9549.73,1.88335,2.26279,1.92643,0.09606,0.10797,0.03323,0.01063,2.57036,5.0345,2.83218,0.0018812,0.0018812,0.0018812
5,11784.3,1.81521,2.19595,1.86979,0.49545,0.41978,0.42495,0.17763,1.89448,1.99677,1.93969,0.0018416,0.0018416,0.0018416
6,14432.4,1.73849,2.06814,1.803,0.48947,0.4672,0.45636,0.20063,1.855,1.92963,1.90317,0.001802,0.001802,0.001802
7,16710,1.70939,2.01026,1.78498,0.53736,0.51261,0.49605,0.20753,1.86654,1.86424,1.90888,0.0017624,0.0017624,0.0017624
8,18770,1.70703,1.95527,1.754,0.61456,0.53885,0.57475,0.25837,1.85112,1.74958,1.86813,0.0017228,0.0017228,0.0017228
9,21179,1.66058,1.8858,1.72634,0.51914,0.50858,0.48452,0.21441,1.80616,1.91896,1.8675,0.0016832,0.0016832,0.0016832
10,23213.3,1.65541,1.87317,1.71294,0.54698,0.49222,0.48846,0.22059,1.76357,1.89098,1.8352,0.0016436,0.0016436,0.0016436
11,25280.5,1.65694,1.85071,1.71269,0.62337,0.61352,0.63297,0.29323,1.69783,1.65335,1.75893,0.001604,0.001604,0.001604
12,5828.4,1.60588,1.81097,1.68015,0.65799,0.59989,0.65004,0.32385,1.65661,1.58148,1.72769,0.0015644,0.0015644,0.0015644
13,11300.8,1.58102,1.77129,1.65267,0.61913,0.57518,0.59173,0.29401,1.65879,1.61113,1.7345,0.0015248,0.0015248,0.0015248
14,14291.6,1.57447,1.72717,1.64944,0.67161,0.62739,0.67562,0.33318,1.68398,1.47797,1.71996,0.0014852,0.0014852,0.0014852
15,17248.1,1.5787,1.70462,1.66041,0.68823,0.58628,0.63849,0.31932,1.65817,1.49367,1.7214,0.0014456,0.0014456,0.0014456
16,20213.3,1.55426,1.68539,1.62845,0.71726,0.63471,0.71035,0.34363,1.67078,1.44128,1.69982,0.001406,0.001406,0.001406
17,23214.4,1.54213,1.63909,1.61847,0.7099,0.64695,0.69123,0.35493,1.6286,1.43586,1.67706,0.0013664,0.0013664,0.0013664
18,26222.6,1.51842,1.62684,1.60278,0.70785,0.58922,0.66232,0.34033,1.62407,1.43553,1.68364,0.0013268,0.0013268,0.0013268
19,29251.6,1.51242,1.60634,1.59585,0.71419,0.67072,0.72267,0.37695,1.64731,1.31834,1.67401,0.0012872,0.0012872,0.0012872
